liter_size,state_btl_cost($),btl_price($),bottle_qty
500,4.89,7.34,2
1750,8.74,13.36,6
750,13.65,20.48,4
1750,8.20,12.30,6
1750,17.75,26.62,6
1000,14.99,22.48,5
1750,7.84,11.76,6
750,8.75,13.12,36
750,11.49,17.24,3
1750,7.60,11.40,12
750,10.49,15.74,24
750,3.37,5.06,12
750,14.75,22.13,12
1750,9.70,14.92,12
750,10.49,15.73,12
750,13.00,19.49,12
750,12.50,18.75,12
750,7.50,11.24,12
1750,10.99,16.49,6
750,6.50,9.74,12
1750,7.11,10.67,12
1750,7.94,12.51,6
750,16.79,25.19,12
750,5.92,8.88,12
750,11.49,17.24,12
1750,31.50,47.24,6
750,5.78,8.67,12
1750,7.60,11.40,6
750,7.33,11.99,12
750,7.50,11.24,12
1750,7.17,10.76,24
750,8.25,12.37,12
750,8.83,13.74,6
1750,11.55,17.32,6
750,8.75,13.13,12
750,7.54,11.31,12
750,8.25,12.37,12
750,6.90,10.35,12
1750,9.70,14.92,18
1750,7.20,10.79,12
1750,14.66,21.99,6
1000,11.00,16.50,12
1750,24.08,36.12,6
1750,26.05,39.08,6
1750,10.68,16.26,3
750,8.25,12.37,3
750,10.49,15.73,4
1000,25.25,37.88,2
1000,7.62,11.43,5
600,15.63,23.44,2
750,5.43,8.15,3
1750,9.00,13.50,6
750,7.00,10.50,3
500,4.74,7.11,3
750,3.37,5.06,12
750,12.66,18.99,3
750,11.45,17.18,3
750,18.67,28.01,1
750,6.50,9.74,5
750,8.25,12.37,5
1750,7.43,11.15,6
1750,9.70,14.92,6
750,11.45,17.18,12
1750,13.04,20.19,1
750,12.05,18.08,12
750,8.67,13.01,6
375,3.07,4.60,24
1750,7.94,12.51,6
375,7.65,11.48,24
1000,18.25,27.37,12
1000,8.93,13.64,36
1000,9.71,14.56,2
1000,4.65,6.98,1
1000,7.28,10.92,12
750,5.38,8.06,12
750,18.09,27.14,6
750,7.94,11.91,1
1000,8.00,11.99,12
1000,18.25,27.37,12
1750,15.99,23.99,6
1000,4.40,6.59,24
1000,12.08,18.12,12
750,5.23,7.84,12
1750,9.70,14.92,6
1000,6.63,9.94,36
1000,4.23,6.35,12
750,8.18,12.27,12
1000,4.13,6.20,12
1000,4.33,6.49,12
750,12.64,19.46,12
1000,3.92,5.88,12
1000,14.99,22.48,12
750,18.49,27.74,12
750,18.49,27.74,12
1000,4.05,6.08,24
1000,21.77,32.66,12
750,3.40,5.10,12
1000,4.17,6.25,12
750,12.80,19.19,12
750,3.37,5.06,12
1000,3.97,5.95,72
750,8.25,12.37,3
1000,10.24,15.35,12
750,8.25,12.37,3
1000,7.50,11.25,12
750,10.00,14.99,2
750,5.78,8.67,12
1000,10.00,14.99,12
