CID,gender,Senior_Citizen,Marrital_Status,No_Dependent,MonthSinceJoining,Service_Phone,Morethan1Connection,Internet_Service,Security_Deposit,Device_Insurance,TechnicalSupport,LiveTVService,MovieAccount,TypeOfContract,Ebill,MethodOfPayment,AverageMonthlyCharge,TotalChargesTillDate,Churn
74701_9,female,0,Yes,2,1,No,No phone service,DSL,No,No,No,No,No,monthly,Yes,Electronic check,30,30,No
77178_10,male,0,No,1,40,Yes,No,DSL,Yes,Yes,No,No,No,One year,No,Mailed check,57,1890,No
80082_3,f,0,No,0,39,Yes,No,DSL,Yes,No,No,No,No,monthly,Yes,Mailed check,54,108,Yes
82841_1,male,0,No,2,13,No,No phone service,DSL,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42,1841,No
73151_3,f,0,No,1,9,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,71,152,Yes
82364_5,female,0,No,3,14,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Electronic check,100,821,Yes
77238_5,female,0,No,1,45,Yes,Yes,Fiber optic,No,No,No,Yes,No,monthly,Yes,Credit card (automatic),89,1949,No
72745_1,m,0,No,3,50,No,No phone service,DSL,Yes,No,No,No,No,monthly,No,Mailed check,30,302,No
76641_4,f,0,Yes,2,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,monthly,Yes,Electronic check,105,3046,Yes
70288_7,m,0,No,1,49,Yes,No,DSL,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56,3488,No
81252_5,male,0,Yes,0,14,Yes,No,DSL,Yes,No,No,No,No,monthly,Yes,Mailed check,50,587,No
79944_9,female,0,No,2,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19,327,No
79961_5,female,0,Yes,0,10,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100,5681,No
72233_1,male,0,No,2,31,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Bank transfer (automatic),104,5036,Yes
71345_9,female,0,No,1,39,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,monthly,Yes,Electronic check,106,2686,No
79557_3,female,0,Yes,2,13,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113,7895,No
71871_3,m,0,No,1,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21,1023,No
80208_3,female,0,No,0,29,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),107,7382,No
72929_9,male,0,Yes,2,4,Yes,No,DSL,No,Yes,Yes,No,No,monthly,No,Credit card (automatic),55,528,Yes
75849_4,f,0,No,3,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,monthly,Yes,Electronic check,90,1863,No
70125_8,m,1,No,2,25,No,No phone service,DSL,No,Yes,No,No,Yes,monthly,Yes,Electronic check,40,40,Yes
71567_9,male,0,Yes,0,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20,202,No
75643_1,f,0,No,0,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,20,20,Yes
71465_10,male,0,Yes,3,36,Yes,Yes,DSL,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),60,3505,No
76348_8,m,0,Yes,2,31,Yes,No,DSL,Yes,No,Yes,No,No,monthly,No,Credit card (automatic),60,2970,No
77629_5,female,0,No,1,38,Yes,No,DSL,Yes,No,No,No,No,monthly,Yes,Bank transfer (automatic),55,1531,No
73433_4,f,0,Yes,2,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Electronic check,99,4749,Yes
74062_9,female,0,Yes,0,10,No,No phone service,DSL,No,No,No,No,No,monthly,No,Electronic check,30,30,Yes
71662_3,m,0,Yes,1,37,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90,6369,No
79951_2,male,0,No,0,50,Yes,No,DSL,No,No,No,Yes,Yes,monthly,Yes,Mailed check,65,1093,Yes
77630_10,m,1,Yes,1,13,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96,6767,No
78161_9,m,1,Yes,0,29,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Credit card (automatic),96,182,No
78214_10,female,0,Yes,1,2,Yes,No,DSL,Yes,Yes,Yes,No,No,One year,No,Mailed check,66,1874,No
72212_2,female,0,No,1,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Bank transfer (automatic),20,20,No
77373_10,f,1,No,0,20,Yes,No,DSL,No,No,No,No,No,monthly,No,Bank transfer (automatic),45,45,No
74165_6,male,0,Yes,1,44,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),100,7252,No
73730_7,female,0,No,1,46,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,70,317,Yes
73515_4,f,0,No,2,19,Yes,No,Fiber optic,No,Yes,No,No,No,monthly,Yes,Credit card (automatic),75,3548,No
71804_1,m,0,No,2,33,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Electronic check,106,3549,Yes
80424_3,female,0,No,2,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Bank transfer (automatic),98,1105,Yes
83058_10,f,0,Yes,1,10,Yes,No,DSL,No,No,No,No,No,One year,No,Mailed check,50,476,No
79877_4,female,0,Yes,0,21,Yes,Yes,DSL,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69,4872,No
72150_3,male,0,Yes,3,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,21,418,No
70304_6,female,0,No,0,20,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),80,4861,No
80630_6,male,0,Yes,2,34,Yes,Yes,DSL,Yes,No,Yes,Yes,No,monthly,Yes,Electronic check,76,981,No
76584_9,male,0,No,2,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,monthly,Yes,Electronic check,85,3907,No
70905_6,female,0,No,2,22,Yes,No,DSL,No,No,No,No,No,monthly,No,Mailed check,49,97,No
81117_6,m,0,No,2,50,Yes,No,Fiber optic,No,No,No,Yes,No,monthly,Yes,Electronic check,81,144,Yes
75345_7,female,0,No,3,21,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),80,4218,No
78533_8,male,0,Yes,3,23,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64,4254,No
71755_7,m,1,No,3,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,monthly,Yes,Electronic check,90,3839,No
82823_1,female,0,No,1,7,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,monthly,Yes,Credit card (automatic),99,1426,Yes
74793_8,female,1,Yes,3,26,Yes,Yes,DSL,Yes,No,Yes,Yes,No,monthly,Yes,Credit card (automatic),70,1753,No
71919_2,female,1,Yes,1,1,Yes,Yes,Fiber optic,No,No,No,No,No,monthly,Yes,Credit card (automatic),81,633,Yes
81128_8,male,1,Yes,2,16,Yes,No,DSL,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),75,4456,No
71634_1,m,1,No,3,28,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Electronic check,95,1753,Yes
72250_6,f,0,Yes,1,20,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),100,6311,No
73351_2,f,1,Yes,2,18,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108,7076,No
79558_4,male,0,Yes,2,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25,894,No
